Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.71      1.10     1.10   848146     0.00     0.00  comp_delta_td_cost
 14.80      1.97     0.87 12629702     0.00     0.00  get_non_updateable_bb
 14.63      2.83     0.86 25584958     0.00     0.00  comp_td_point_to_point_delay
  9.86      3.41     0.58   848146     0.00     0.00  find_affected_nets
  9.52      3.97     0.56   869998     0.00     0.00  try_swap
  7.14      4.39     0.42 18463104     0.00     0.00  get_seg_start
  6.63      4.78     0.39 15637785     0.00     0.00  get_net_cost
  4.08      5.02     0.24    68548     0.00     0.00  label_wire_muxes
  3.06      5.20     0.18 18254940     0.00     0.00  get_seg_end
  2.38      5.34     0.14   386965     0.00     0.00  update_td_cost
  2.21      5.47     0.13   315200     0.00     0.00  get_bb_from_scratch
  1.87      5.58     0.11  3008047     0.00     0.00  update_bb
  0.68      5.62     0.04  3022684     0.00     0.00  my_irand
  0.68      5.66     0.04       15     0.00     0.00  recompute_bb_cost
  0.51      5.69     0.03   869998     0.00     0.00  find_to
  0.51      5.72     0.03    19577     0.00     0.00  timing_driven_expand_neighbours
  0.34      5.74     0.02    30888     0.00     0.00  label_wire_muxes_for_balance
  0.34      5.76     0.02      124     0.00     0.00  load_net_slack
  0.34      5.78     0.02        1     0.02     0.02  add_rr_graph_C_from_switches
  0.34      5.80     0.02        1     0.02     0.02  sync_nets_to_blocks
  0.17      5.81     0.01  1421350     0.00     0.00  get_rr_node_index
  0.17      5.82     0.01   848146     0.00     0.00  assess_swap
  0.17      5.83     0.01   222559     0.00     0.00  get_timing_driven_expected_cost
  0.17      5.84     0.01   220989     0.00     0.00  add_to_heap
  0.17      5.85     0.01    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.17      5.86     0.01      511     0.00     0.00  get_mst_of_net
  0.17      5.87     0.01      124     0.00     0.00  compute_net_slacks
  0.09      5.88     0.01   220989     0.00     0.00  alloc_heap_data
  0.09      5.88     0.01      477     0.00     0.00  empty_heap
  0.00      5.88     0.00   638248     0.00     0.00  my_frand
  0.00      5.88     0.00   383841     0.00     0.00  my_malloc
  0.00      5.88     0.00   222559     0.00     0.00  node_to_heap
  0.00      5.88     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      5.88     0.00   220989     0.00     0.00  free_heap_data
  0.00      5.88     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      5.88     0.00   217602     0.00     0.00  get_expected_segs_to_target
  0.00      5.88     0.00   166056     0.00     0.00  is_sbox
  0.00      5.88     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      5.88     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      5.88     0.00    58080     0.00     0.00  vpr_to_phy_track
  0.00      5.88     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      5.88     0.00    29040     0.00     0.00  is_cbox
  0.00      5.88     0.00    22465     0.00     0.00  get_heap_head
  0.00      5.88     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      5.88     0.00    20292     0.00     0.00  check_node
  0.00      5.88     0.00    20292     0.00     0.00  check_pass_transistors
  0.00      5.88     0.00    19634     0.00     0.00  IsWhitespace
  0.00      5.88     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      5.88     0.00    19536     0.00     0.00  alloc_linked_f_pointer
  0.00      5.88     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      5.88     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      5.88     0.00    13068     0.00     0.00  find_label_of_track
  0.00      5.88     0.00    11821     0.00     0.00  min_dist_from_mst
  0.00      5.88     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      5.88     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      5.88     0.00     4966     0.00     0.00  is_opin
  0.00      5.88     0.00     4742     0.00     0.00  check_subblock_pin
  0.00      5.88     0.00     4627     0.00     0.00  alloc_rt_node
  0.00      5.88     0.00     4627     0.00     0.00  alloc_trace_data
  0.00      5.88     0.00     4627     0.00     0.00  free_rt_node
  0.00      5.88     0.00     4627     0.00     0.00  free_trace_data
  0.00      5.88     0.00     4150     0.00     0.00  alloc_linked_rt_edge
  0.00      5.88     0.00     4150     0.00     0.00  free_linked_rt_edge
  0.00      5.88     0.00     3774     0.00     0.00  my_atoi
