Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 41.64      1.17     1.17   869998     0.00     0.00  try_swap
 15.48      1.61     0.44 25584958     0.00     0.00  comp_td_point_to_point_delay
 13.52      1.99     0.38 12629702     0.00     0.00  get_non_updateable_bb
  7.65      2.20     0.22 15637785     0.00     0.00  get_net_cost
  6.05      2.37     0.17 18463104     0.00     0.00  get_seg_start
  4.98      2.51     0.14    68548     0.00     0.00  label_wire_muxes
  2.67      2.59     0.08   315200     0.00     0.00  get_bb_from_scratch
  2.14      2.65     0.06  3008047     0.00     0.00  update_bb
  0.71      2.67     0.02  1421350     0.00     0.00  get_rr_node_index
  0.71      2.69     0.02    22465     0.00     0.00  get_heap_head
  0.53      2.70     0.02        2     0.01     0.01  comp_bb_cost
  0.36      2.71     0.01   166056     0.00     0.00  is_sbox
  0.36      2.72     0.01    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.36      2.73     0.01    55176     0.00     0.00  get_track_to_tracks
  0.36      2.74     0.01    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.36      2.75     0.01     4966     0.00     0.00  is_opin
  0.36      2.76     0.01      511     0.00     0.00  get_mst_of_net
  0.36      2.77     0.01      477     0.00     0.00  timing_driven_route_net
  0.36      2.78     0.01      139     0.00     0.00  comp_td_costs
  0.36      2.79     0.01      124     0.00     0.00  load_net_slack
  0.36      2.80     0.01                             dump_seg_details
  0.18      2.81     0.01  3022684     0.00     0.00  my_irand
  0.18      2.81     0.01        1     0.01     0.01  my_srandom
  0.00      2.81     0.00   638248     0.00     0.00  my_frand
  0.00      2.81     0.00   383841     0.00     0.00  my_malloc
  0.00      2.81     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      2.81     0.00   222559     0.00     0.00  node_to_heap
  0.00      2.81     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      2.81     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      2.81     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      2.81     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      2.81     0.00    29040     0.00     0.00  get_seg_end
  0.00      2.81     0.00    29040     0.00     0.00  is_cbox
  0.00      2.81     0.00    22465     0.00     0.00  free_heap_data
  0.00      2.81     0.00    21912     0.00     0.00  get_simple_switch_block_track
